student_id,student_name,mail,specialization,machine_learning_ut1,machine_learning_ut2,machine_learning_mt1,machine_learning_mt2,machine_learning_attendance,machine_learning_assessments,machine_learning_internals,iot_ut1,iot_ut2,iot_mt1,iot_mt2,iot_attendance,iot_assessments,iot_internals,data_science_ut1,data_science_ut2,data_science_mt1,data_science_mt2,data_science_attendance,data_science_assessments,data_science_internals,cyber_security_ut1,cyber_security_ut2,cyber_security_mt1,cyber_security_mt2,cyber_security_attendance,cyber_security_assessments,cyber_security_internals,dbms_ut1,dbms_ut2,dbms_mt1,dbms_mt2,dbms_attendance,dbms_assessments,dbms_internals
9729,Adam Watson,vtu9729@veltech.edu.in,Data Analytics,10,3,15,9,3,5,26.5,8,4,13,1,4,4,21,9,9,18,3,2,2,23.5,1,9,8,16,3,5,25,9,2,15,15,5,4,29.5
2702,Tammy Harris,vtu2702@veltech.edu.in,Cyber Security,8,9,10,2,4,5,23.5,5,8,3,19,3,4,24.5,9,10,9,15,2,3,26.5,2,9,1,4,2,3,13,8,10,9,6,3,3,22.5
8078,Chad Obrien,vtu8078@veltech.edu.in,Cyber Security,2,5,7,2,5,2,15,5,3,18,6,1,1,18,5,1,5,18,2,1,17.5,6,5,9,16,4,4,26,1,2,9,16,4,3,21
8215,Scott Duran,vtu8215@veltech.edu.in,General,2,4,10,8,1,1,14,3,6,5,2,1,1,10,5,7,13,16,5,2,27.5,3,6,17,3,2,4,20.5,1,2,8,12,4,3,18.5
5418,David Edwards,vtu5418@veltech.edu.in,Artificial Intelligence,4,8,20,16,1,3,28,9,5,7,12,1,3,20.5,8,7,5,20,4,4,28,4,1,12,17,1,5,23,9,7,12,14,2,3,26
7965,Donald Robertson,vtu7965@veltech.edu.in,Artificial Intelligence,5,3,15,3,4,3,20,7,8,5,6,1,4,18,7,9,10,7,4,5,25.5,6,2,8,1,1,4,13.5,3,4,12,17,1,2,21
143,Aswitha,vtu143@veltech.edu.in,General,10,9,5,9,2,1,19.5,5,7,20,3,5,2,24.5,5,8,5,8,4,4,21,6,5,9,14,1,4,22,3,9,14,14,5,3,28
4229,Nicholas Aguilar,vtu4229@veltech.edu.in,Data Analytics,3,3,18,15,1,1,21.5,3,5,9,16,1,5,22.5,9,8,8,15,3,5,28,5,4,9,15,2,4,22.5,9,5,18,12,3,1,26
427,Brittany Lee,vtu427@veltech.edu.in,Artificial Intelligence,2,8,17,3,4,4,23,3,3,13,15,4,1,22,7,5,19,10,1,5,26.5,6,5,7,6,3,1,16,4,10,13,15,4,3,28
8235,Katherine Taylor,vtu8235@veltech.edu.in,Data Analytics,5,8,1,16,4,3,22,9,6,15,14,4,4,30,8,9,7,4,2,4,20,5,6,7,13,4,1,20.5,9,3,1,3,4,4,16
1561,Joseph Flores,vtu1561@veltech.edu.in,Artificial Intelligence,4,10,14,12,4,5,29,8,1,14,14,1,5,24.5,5,5,11,14,4,5,26.5,10,2,16,8,5,5,28,1,3,3,1,5,1,10
9376,Victoria Martinez,vtu9376@veltech.edu.in,Data Analytics,3,2,4,3,5,4,15,4,6,4,16,2,3,20,9,2,4,19,3,4,24,9,2,14,6,2,4,21.5,4,4,6,16,5,4,24
5557,Christine Stewart,vtu5557@veltech.edu.in,Artificial Intelligence,9,4,9,18,2,2,24,4,6,20,17,4,4,31.5,4,10,14,2,5,5,25,10,6,7,9,2,2,20,6,9,17,7,4,5,28.5
1251,Chelsea Sanford,vtu1251@veltech.edu.in,Data Analytics,9,2,13,7,5,2,22.5,1,7,4,16,5,1,20,3,1,19,8,5,3,23.5,1,1,5,15,4,1,16,4,4,12,15,5,5,27.5
6265,Mr. Kevin,vtu6265@veltech.edu.in,Cyber Security,9,8,10,20,2,5,30.5,6,7,15,13,2,2,24.5,8,5,6,4,2,2,15.5,7,9,18,5,2,2,23.5,4,3,6,8,4,3,17.5
5186,Molly Herring,vtu5186@veltech.edu.in,Data Analytics,3,10,16,18,1,4,28.5,8,7,7,19,3,3,26.5,1,5,20,6,1,5,22,10,3,2,4,5,1,15.5,10,7,2,7,5,2,20
4874,Steven Brewer,vtu4874@veltech.edu.in,Data Analytics,8,8,2,13,4,5,24.5,8,10,10,16,5,3,30,8,7,6,19,2,1,23,6,4,7,9,4,1,18,9,7,9,12,1,3,22.5
5949,Andrew White,vtu5949@veltech.edu.in,Data Analytics,2,9,20,9,3,2,25,7,2,15,14,1,3,23,4,1,1,15,1,2,13.5,1,5,10,19,4,5,26.5,9,8,7,6,2,5,22
7091,Erin Gentry,vtu7091@veltech.edu.in,General,1,2,19,2,4,5,21,8,1,7,13,3,4,21.5,9,6,10,11,5,5,28,1,1,19,4,1,4,17.5,6,3,6,9,1,1,14
2635,Roy Wagner,vtu2635@veltech.edu.in,Cyber Security,9,7,18,7,4,5,29.5,10,4,18,8,2,3,25,4,9,12,5,2,3,20,5,1,8,11,4,2,18.5,6,3,14,16,3,2,24.5
6291,Mrs. Amber,vtu6291@veltech.edu.in,Cyber Security,10,5,1,11,1,1,15.5,4,3,2,1,2,3,10,7,3,14,1,3,4,19.5,3,10,3,4,5,3,18,10,6,5,2,3,5,19.5
6792,Mrs. Sheila,vtu6792@veltech.edu.in,Data Analytics,4,3,19,11,2,4,24.5,9,6,19,9,3,4,28.5,4,3,4,9,3,2,15,10,5,19,15,3,1,28.5,5,4,3,8,5,2,17
1516,John Hall,vtu1516@veltech.edu.in,Data Analytics,10,3,6,5,2,2,16,10,6,15,1,2,4,22,8,1,16,15,2,4,26,8,5,6,20,1,1,21.5,2,7,14,1,3,5,20
6698,Mark Fisher,vtu6698@veltech.edu.in,Cyber Security,8,2,9,11,5,5,25,6,9,19,19,1,5,32.5,5,1,7,14,3,3,19.5,1,4,5,7,1,1,10.5,1,5,3,2,3,5,13.5
1780,Jon Walker,vtu1780@veltech.edu.in,Data Analytics,5,6,8,1,1,4,15,1,4,19,2,4,4,21,8,9,9,1,1,2,16.5,7,3,6,5,3,2,15.5,3,9,19,8,4,5,28.5
9846,Pamela Ray,vtu9846@veltech.edu.in,General,3,6,19,7,4,5,26.5,3,5,13,2,3,2,16.5,8,7,3,14,3,1,20,3,3,4,16,1,1,15,6,9,18,19,4,1,31
2763,Ryan Edwards,vtu2763@veltech.edu.in,General,3,6,11,16,2,1,21,9,10,9,2,4,5,24,2,5,20,6,3,5,24.5,3,8,17,7,5,5,27.5,2,8,4,3,1,4,13.5
3558,Michelle Foster,vtu3558@veltech.edu.in,Cyber Security,6,1,8,4,5,5,19.5,8,6,10,6,4,5,24,8,3,9,13,5,3,24.5,4,6,18,16,2,2,26,2,3,19,13,4,4,26.5
5700,Donald Burke,vtu5700@veltech.edu.in,Artificial Intelligence,1,2,11,9,2,1,14.5,3,9,16,6,2,3,22,4,4,17,4,5,5,24.5,1,4,6,2,2,4,12.5,2,9,16,14,5,3,28.5
3756,Lisa Hendricks,vtu3756@veltech.edu.in,Cyber Security,4,2,18,7,1,1,17.5,5,3,16,13,4,3,25.5,3,8,1,20,5,2,23,1,8,19,5,3,1,20.5,2,6,1,5,1,1,9
2175,Hailey Rodriguez,vtu2175@veltech.edu.in,Data Analytics,3,4,5,7,4,2,15.5,4,7,6,13,5,2,22,7,5,6,7,4,4,20.5,8,7,2,16,3,4,23.5,5,4,2,13,1,4,17
7984,Randy Gibson,vtu7984@veltech.edu.in,Data Analytics,4,6,13,13,2,1,21,9,1,20,16,3,1,27,4,5,11,18,2,5,26,10,4,14,4,3,1,20,10,3,17,15,5,2,29.5
2696,Mary Swanson,vtu2696@veltech.edu.in,Artificial Intelligence,7,1,16,14,4,1,24,5,7,16,10,5,5,29,10,10,3,13,4,3,25,9,7,12,7,5,3,25.5,7,6,1,17,5,1,21.5
4861,Keith Ingram,vtu4861@veltech.edu.in,Data Analytics,9,8,12,3,3,3,22,5,4,5,1,4,3,14.5,5,2,19,13,2,4,25.5,8,9,15,18,1,5,31,5,8,17,18,1,2,27
5733,Scott Torres,vtu5733@veltech.edu.in,Artificial Intelligence,7,7,17,17,2,1,27,6,6,15,1,5,4,23,9,5,11,1,2,3,18,10,7,9,7,3,5,24.5,9,10,8,4,2,2,19.5
7086,Charles Brown,vtu7086@veltech.edu.in,Artificial Intelligence,8,5,12,17,1,2,24,5,2,6,10,1,4,16.5,4,6,13,4,1,2,16.5,7,3,4,4,2,1,12,9,3,13,14,4,2,25.5
7661,John Wade,vtu7661@veltech.edu.in,Cyber Security,10,5,19,5,3,3,25.5,6,4,17,11,3,5,27,5,2,10,9,1,1,15,4,8,1,14,2,2,17.5,6,4,3,19,4,4,24
3382,John Henry,vtu3382@veltech.edu.in,Cyber Security,5,3,16,14,4,3,26,1,5,4,7,3,5,16.5,8,9,5,8,5,2,22,1,5,16,2,3,2,17,2,6,9,18,1,1,19.5
8717,Edward Matthews,vtu8717@veltech.edu.in,General,10,3,10,15,2,2,23,5,10,12,17,3,1,26,6,10,18,20,1,3,31,10,10,15,18,3,3,32.5,6,5,14,14,1,1,21.5
2974,Michelle Franklin,vtu2974@veltech.edu.in,Data Analytics,1,10,7,11,5,5,24.5,7,3,20,3,2,5,23.5,1,1,18,13,3,4,23.5,1,3,5,6,5,2,14.5,9,5,17,11,2,3,26
4328,Victor Sampson,vtu4328@veltech.edu.in,Cyber Security,3,5,19,19,3,4,30,5,3,12,2,5,2,18,7,10,20,1,3,1,23,3,3,6,3,5,5,17.5,7,9,14,11,3,1,24.5
8209,Gregory Robinson,vtu8209@veltech.edu.in,Data Analytics,6,5,15,3,5,3,22.5,1,3,4,15,4,4,19.5,10,4,12,14,1,3,24,10,5,10,9,4,5,26,7,1,18,16,3,3,27
665,Randy Perkins,vtu665@veltech.edu.in,Artificial Intelligence,4,2,9,5,5,3,18,2,8,12,5,4,1,18.5,8,6,10,5,3,3,20.5,1,2,7,14,2,5,19,2,8,7,14,1,5,21.5
1182,Erica Hanna,vtu1182@veltech.edu.in,General,4,6,1,1,2,3,11,5,10,9,18,2,2,25,2,4,17,8,4,5,24.5,1,6,4,15,2,4,19,3,7,9,15,3,2,22
424,Cindy Hernandez,vtu424@veltech.edu.in,Cyber Security,10,3,10,7,1,1,17,10,7,15,17,1,4,29.5,3,2,13,11,1,5,20.5,3,6,7,19,1,2,20.5,2,8,11,13,3,5,25
7299,Chris Williams,vtu7299@veltech.edu.in,Artificial Intelligence,9,1,9,15,3,1,21,5,9,7,13,1,1,19,1,7,1,10,2,4,15.5,7,4,11,6,5,3,22,8,6,16,9,1,3,23.5
7966,Jonathan May,vtu7966@veltech.edu.in,Cyber Security,1,4,18,20,3,4,28.5,9,4,11,12,5,2,25,10,10,7,7,4,2,23,6,5,10,18,1,1,21.5,5,6,19,9,3,2,24.5
1752,Courtney Adams,vtu1752@veltech.edu.in,Cyber Security,6,4,11,6,3,3,19.5,5,7,17,7,5,3,26,4,6,6,19,5,2,24.5,8,10,11,20,3,5,32.5,4,6,9,19,3,1,23
1608,Jimmy Lee,vtu1608@veltech.edu.in,Cyber Security,6,9,3,15,4,5,25.5,10,5,13,16,5,2,29,4,1,4,9,2,5,16,4,4,10,5,5,1,17.5,6,1,17,17,3,3,26.5
4881,Jessica Gregory,vtu4881@veltech.edu.in,Data Analytics,9,1,19,6,1,4,22.5,10,5,9,7,2,4,21.5,6,9,17,3,5,4,26.5,6,2,6,2,1,3,12,9,5,14,6,5,1,23
351,Dale Moreno,vtu351@veltech.edu.in,Artificial Intelligence,10,5,16,11,2,4,27,7,8,10,10,1,3,21.5,8,8,15,15,2,3,28,4,4,11,7,4,1,18,9,9,19,11,5,4,33
4423,Jason Lane,vtu4423@veltech.edu.in,Data Analytics,5,4,13,8,2,2,19,2,4,8,10,1,3,16,8,8,1,12,4,3,21.5,2,1,3,3,1,4,9.5,4,3,6,1,2,3,12
8280,Vanessa Smith,vtu8280@veltech.edu.in,Artificial Intelligence,9,3,12,12,5,5,28,9,5,19,2,1,5,23.5,9,5,5,9,1,2,17,9,6,13,15,5,2,28.5,2,6,2,17,2,2,17.5
5260,Misty Mccormick,vtu5260@veltech.edu.in,Artificial Intelligence,9,5,4,14,1,4,21,7,6,2,7,2,3,16,5,8,18,18,2,3,29.5,2,10,14,7,1,3,20.5,5,4,12,20,1,4,25.5
6552,Jason Hanna,vtu6552@veltech.edu.in,Artificial Intelligence,7,10,9,10,4,4,26,6,4,4,16,5,3,23,6,10,8,7,5,4,24.5,3,4,4,6,4,2,14.5,5,7,7,9,5,3,22
5332,Dawn Christensen,vtu5332@veltech.edu.in,Cyber Security,1,10,1,13,4,5,21.5,7,9,2,11,1,1,16.5,5,9,5,5,4,1,17,1,3,3,19,5,3,21,6,6,11,19,5,1,27
1551,Megan Palmer,vtu1551@veltech.edu.in,General,5,4,4,20,3,2,21.5,3,1,18,15,2,4,24.5,5,3,7,7,1,4,16,4,10,8,5,2,5,20.5,4,3,12,15,1,5,23
8757,John Carpenter,vtu8757@veltech.edu.in,Data Analytics,4,3,7,6,2,5,17,2,8,11,7,1,5,20,2,10,14,20,4,3,30,2,6,18,18,1,1,24,4,9,8,15,4,2,24
2359,Juan Wood,vtu2359@veltech.edu.in,Data Analytics,10,1,16,5,1,1,18,3,10,4,13,4,5,24,9,6,12,20,3,4,30.5,5,10,19,12,3,4,30,7,4,14,3,2,4,20
6367,Christopher Simmons,vtu6367@veltech.edu.in,General,4,2,4,4,2,5,14,1,3,20,20,4,3,29,1,4,12,1,3,3,15,1,9,6,11,2,3,18.5,1,10,12,7,4,5,24
5357,Dawn Vaughn,vtu5357@veltech.edu.in,Cyber Security,5,9,3,17,4,5,26,8,7,5,9,2,1,17.5,10,2,2,15,5,3,22.5,6,9,13,10,4,1,24,9,4,19,11,3,2,26.5
8323,Tammy Maxwell,vtu8323@veltech.edu.in,Cyber Security,4,2,5,18,4,5,23.5,10,8,2,15,2,4,23.5,1,3,12,15,3,2,20.5,9,4,8,16,1,2,21.5,1,10,2,11,5,3,20
3009,Susan Williams,vtu3009@veltech.edu.in,Data Analytics,10,10,11,17,5,4,33,10,10,15,9,5,4,31,5,6,3,15,5,1,20.5,8,4,20,4,1,3,22,9,10,8,7,1,5,23
7309,Cameron Johnson,vtu7309@veltech.edu.in,Data Analytics,2,6,5,3,5,4,17,6,4,6,13,4,3,21.5,5,9,5,4,3,4,18.5,10,4,10,13,2,3,23.5,8,10,6,2,2,1,16
9436,Juan Stevenson,vtu9436@veltech.edu.in,General,3,3,3,15,2,5,19,4,10,8,14,3,2,23,9,5,17,8,5,4,28.5,9,7,5,1,2,2,15,5,3,5,12,5,3,20.5
1268,Michael Smith,vtu1268@veltech.edu.in,Artificial Intelligence,9,2,1,13,5,2,19.5,6,2,13,8,3,5,22.5,5,7,11,20,2,5,28.5,1,1,6,1,5,1,10.5,2,9,19,10,1,3,24
9340,Dwayne Bailey,vtu9340@veltech.edu.in,Data Analytics,1,4,14,18,2,1,21.5,7,8,12,11,5,5,29,4,7,2,17,3,1,19,2,8,6,19,3,4,24.5,3,7,11,11,3,1,20
607,Wendy Jordan,vtu607@veltech.edu.in,Cyber Security,3,3,3,1,5,1,11,7,8,7,16,3,2,24,7,8,3,13,5,3,23.5,10,2,2,3,1,4,13.5,4,2,18,6,5,5,25
2237,Yesenia Young,vtu2237@veltech.edu.in,General,10,1,11,1,3,3,17.5,9,3,14,14,1,2,23,4,8,17,2,3,5,23.5,1,5,18,3,1,4,18.5,9,4,5,1,1,5,15.5
3650,Joy Phillips,vtu3650@veltech.edu.in,Data Analytics,8,9,6,15,2,5,26,9,9,3,18,5,2,26.5,5,8,1,11,1,3,16.5,6,1,20,10,5,5,28.5,6,5,14,5,5,3,23
12038,priyadharshini,vtu12038@veltech.edu.in,Artificial Intelligence,8,4,11,10,5,5,26.5,2,2,4,1,4,5,13.5,5,7,3,10,3,4,19.5,8,9,7,10,2,4,23,8,4,18,17,4,1,28.5
885,Jacob Daniel,vtu885@veltech.edu.in,Data Analytics,9,6,14,15,1,3,26,4,10,1,10,3,1,16.5,1,4,14,12,4,2,21.5,3,10,5,6,4,3,19,6,3,11,3,1,5,17.5
8008,Brian Andrade,vtu8008@veltech.edu.in,General,9,4,19,2,2,2,21,4,4,6,8,4,1,16,5,5,10,4,3,2,17,8,1,19,20,4,4,32,6,5,14,19,2,5,29
5673,Samantha Taylor,vtu5673@veltech.edu.in,Cyber Security,4,10,10,19,2,2,25.5,6,5,1,11,4,4,19.5,8,9,3,6,2,5,20,4,4,13,10,4,1,20.5,3,3,10,10,4,3,20
1441,Renee Garrison,vtu1441@veltech.edu.in,Data Analytics,3,4,1,20,2,3,19,10,2,3,14,1,1,16.5,8,1,18,19,3,3,29,3,3,13,15,1,5,23,9,2,9,6,4,5,22
860,Bruce Gillespie,vtu860@veltech.edu.in,Cyber Security,7,5,8,3,1,3,15.5,8,8,15,4,5,2,24.5,3,7,1,19,2,5,22,10,3,3,8,3,2,17,7,5,8,14,5,2,24
3886,Melinda Wilson,vtu3886@veltech.edu.in,Cyber Security,10,5,1,15,1,5,21.5,7,2,17,4,1,4,20,3,2,16,13,3,1,21,4,10,9,20,2,1,24.5,1,6,8,2,1,5,14.5
2023,Robert Garcia,vtu2023@veltech.edu.in,Cyber Security,3,8,6,6,2,1,14.5,1,6,8,11,2,4,19,9,5,11,3,2,2,18,3,10,2,17,1,2,19,2,3,6,13,3,3,18
4046,Johnathan Edwards,vtu4046@veltech.edu.in,General,3,5,10,1,4,5,18.5,1,5,17,3,3,3,19,9,2,19,11,1,5,26.5,10,7,20,8,4,2,28.5,10,3,7,10,1,3,19
7228,Ms. Monica,vtu7228@veltech.edu.in,General,5,7,18,13,1,2,24.5,9,5,14,16,3,4,29,8,9,8,7,2,1,19,7,3,17,7,3,5,25,10,4,17,15,2,3,28
2044,Kimberly Walker,vtu2044@veltech.edu.in,Artificial Intelligence,4,1,8,16,4,5,23.5,3,3,3,11,3,1,14,6,9,14,17,1,4,28,4,5,17,3,2,3,19.5,8,10,17,11,1,5,29
8279,Jake Andrews,vtu8279@veltech.edu.in,Data Analytics,7,1,11,19,4,4,27,8,8,10,17,5,1,27.5,10,2,10,14,2,4,24,8,9,13,11,2,4,26.5,9,2,4,13,4,3,21
1616,Bobby Shaw,vtu1616@veltech.edu.in,General,5,4,13,10,4,3,23,1,6,18,18,4,5,30.5,2,3,11,3,3,3,15.5,1,3,8,17,3,5,22.5,1,7,13,11,1,5,22
4322,Scott Powell,vtu4322@veltech.edu.in,General,9,8,7,20,5,4,31,5,3,4,5,3,1,12.5,5,6,13,13,3,4,25.5,2,10,4,19,3,5,25.5,4,9,15,16,2,2,26
943,Martha Taylor,vtu943@veltech.edu.in,General,10,2,12,14,1,5,25,2,10,8,8,4,1,19,3,10,6,12,3,3,21.5,1,8,18,20,3,2,28.5,9,3,17,14,2,3,26.5
9801,Jennifer Rogers,vtu9801@veltech.edu.in,Data Analytics,10,9,14,15,4,5,33,3,8,20,19,5,3,33,3,7,4,15,4,1,19.5,1,10,1,6,4,5,18,4,4,5,15,5,3,22
4152,Timothy Bauer,vtu4152@veltech.edu.in,Data Analytics,9,8,8,11,5,4,27,6,8,1,2,5,5,18.5,5,7,11,9,2,2,20,5,6,16,9,5,5,28,5,6,12,5,3,4,21
7542,Stacy Barnes,vtu7542@veltech.edu.in,Artificial Intelligence,4,5,4,2,5,5,17.5,6,6,15,1,5,5,24,8,2,12,7,2,1,17.5,1,8,13,15,2,1,21.5,6,2,15,4,2,4,19.5
3493,James Gonzalez,vtu3493@veltech.edu.in,General,2,8,5,11,5,3,21,9,8,14,1,3,4,23,6,5,12,8,3,4,22.5,1,4,10,15,3,3,21,7,10,5,2,4,2,18
9084,Jennifer Montoya,vtu9084@veltech.edu.in,Artificial Intelligence,8,4,2,16,2,3,20,3,2,14,7,3,5,21,5,5,12,6,4,4,22,9,3,16,16,2,4,28,3,3,14,4,2,1,15
9618,Renee Gonzalez,vtu9618@veltech.edu.in,Cyber Security,9,2,7,14,2,5,23,7,9,15,1,1,2,19,2,7,7,5,5,1,16.5,10,6,4,13,3,3,22.5,5,3,11,4,2,1,14.5
1359,Joseph Alexander,vtu1359@veltech.edu.in,Artificial Intelligence,9,3,11,10,5,1,22.5,9,6,7,16,1,4,24,4,3,5,4,4,1,13,8,4,1,6,4,3,16.5,8,2,18,10,3,2,24
8998,Emily Craig,vtu8998@veltech.edu.in,Data Analytics,5,9,20,8,4,3,28,9,5,1,11,4,1,18,8,10,17,6,4,4,28.5,6,5,3,16,4,2,21,6,10,5,10,2,5,22.5
2989,Cathy Henderson,vtu2989@veltech.edu.in,Cyber Security,5,2,11,4,3,1,15,3,1,15,19,1,1,21,6,9,16,13,4,4,30,10,8,4,18,1,1,22,6,3,11,7,4,1,18.5
8977,Lorraine Powell,vtu8977@veltech.edu.in,General,4,5,19,6,5,3,25,1,2,6,18,5,4,22.5,4,10,12,13,2,2,23.5,1,10,16,14,1,1,22.5,8,5,1,19,4,4,24.5
2522,Jamie Diaz,vtu2522@veltech.edu.in,General,1,1,19,11,2,3,21,10,1,16,12,3,2,24.5,2,10,19,12,3,1,25.5,7,10,15,10,2,4,27,1,7,15,7,2,1,18
2540,Jane Chase,vtu2540@veltech.edu.in,General,4,1,16,4,3,4,19.5,10,3,16,4,5,3,24.5,10,8,2,5,1,3,16.5,3,7,19,6,4,3,24.5,5,7,10,9,4,1,20.5
6270,Kristen Campbell,vtu6270@veltech.edu.in,Data Analytics,3,10,20,18,4,2,31.5,7,5,1,7,2,5,17,9,1,2,1,1,2,9.5,5,9,8,8,5,3,23,4,6,10,12,4,1,21
4332,Anthony Watkins,vtu4332@veltech.edu.in,Artificial Intelligence,5,6,15,9,4,5,26.5,8,9,12,2,1,4,20.5,5,10,2,6,4,1,16.5,3,8,1,20,5,2,23,10,8,5,18,3,1,24.5
8940,George Williams,vtu8940@veltech.edu.in,Data Analytics,1,4,14,20,4,4,27.5,7,7,12,16,2,4,27,6,5,4,7,5,1,17,7,3,6,13,2,5,21.5,10,8,12,5,3,2,22.5
5114,Michael Knight,vtu5114@veltech.edu.in,Artificial Intelligence,2,2,4,3,5,4,14.5,6,5,19,3,2,2,20.5,4,3,7,19,3,5,24.5,6,9,5,12,5,5,26,3,8,3,3,5,1,14.5
5625,Katherine James,vtu5625@veltech.edu.in,Artificial Intelligence,7,9,2,14,5,5,26,2,7,12,3,2,1,15,3,6,19,18,2,5,30,3,3,8,12,4,2,19,3,4,6,5,5,1,15
8396,Sean Watson,vtu8396@veltech.edu.in,General,1,6,18,6,2,2,19.5,2,8,18,16,5,2,29,4,10,20,8,4,5,30,7,3,15,16,4,5,29.5,7,4,2,14,1,5,19.5
9459,Stephanie Rogers,vtu9459@veltech.edu.in,Artificial Intelligence,6,8,13,9,1,3,22,3,8,7,5,1,3,15.5,1,6,6,14,4,1,18.5,5,2,2,1,2,4,11,9,5,4,2,5,1,16
2310,Mark Barker,vtu2310@veltech.edu.in,Cyber Security,5,9,16,20,4,4,33,8,3,3,2,3,5,16,6,6,10,12,5,1,23,10,1,12,14,5,5,28.5,9,9,13,10,5,3,28.5
6032,Jennifer Zamora,vtu6032@veltech.edu.in,Data Analytics,5,6,1,20,5,4,25,10,7,14,6,5,3,26.5,10,9,10,13,1,1,23,8,10,11,2,2,2,19.5,8,10,14,15,3,1,27.5
419,Kayla Taylor,vtu419@veltech.edu.in,Artificial Intelligence,3,3,3,19,2,1,17,1,7,15,20,2,5,28.5,1,2,8,5,5,3,16,4,6,11,3,3,3,18,8,6,14,4,3,3,22
4882,Robert Morris,vtu4882@veltech.edu.in,Cyber Security,4,1,3,5,4,2,12.5,10,2,9,15,2,4,24,3,3,19,4,5,5,24.5,8,10,4,10,4,3,23,7,2,2,14,2,5,19.5
7586,Courtney Mitchell,vtu7586@veltech.edu.in,Artificial Intelligence,6,8,19,10,1,1,23.5,8,3,20,9,2,5,27,8,5,18,7,4,2,25,7,6,6,15,2,5,24,6,4,13,16,5,4,28.5
1082,Tyler Ross,vtu1082@veltech.edu.in,General,5,9,6,7,3,4,20.5,1,3,12,1,4,3,15.5,4,4,15,17,5,5,30,2,8,6,1,5,1,14.5,9,10,20,5,5,3,30
9392,Mark Fitzpatrick,vtu9392@veltech.edu.in,General,6,3,11,9,5,2,21.5,5,4,7,8,3,4,19,7,6,7,3,1,2,14.5,9,7,16,16,5,2,31,2,4,15,3,1,3,16
1264,Stephanie Woodard,vtu1264@veltech.edu.in,Cyber Security,4,8,3,14,5,2,21.5,5,8,13,19,1,1,24.5,2,2,11,5,1,3,14,4,6,3,6,2,3,14.5,5,4,15,6,1,2,18
6454,Cameron Williamson,vtu6454@veltech.edu.in,Cyber Security,1,6,19,5,5,4,24.5,9,3,17,17,4,1,28,6,8,15,9,2,3,24,8,7,14,8,1,1,20.5,1,5,19,10,4,1,22.5
1488,Kevin Powell,vtu1488@veltech.edu.in,Data Analytics,1,3,3,11,5,5,19,4,3,3,7,1,2,11.5,1,10,16,14,1,5,26.5,5,4,13,4,1,1,15,4,1,15,13,5,5,26.5
